Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 06/11/2024 00:00:00 EDT Call $537.00,SPY240611C00537000,Buy,Filled,2,2,@1.36,1.36,DAY,06/06/2024 13:04:10 EDT,06/06/2024 13:04:23 EDT
GME 06/07/2024 00:00:00 EDT Call $44.00,GME240607C00044000,Buy,Cancelled,0,1,@1.93,,DAY,06/06/2024 13:02:35 EDT,
SPY 06/11/2024 00:00:00 EDT Call $537.00,SPY240611C00537000,Buy,Cancelled,0,2,@1.29,,DAY,06/06/2024 12:45:59 EDT,
SPY 06/06/2024 00:00:00 EDT Put $533.00,SPY240606P00533000,Sell,Filled,1,1,0.720,0.720,DAY,06/06/2024 12:44:02 EDT,06/06/2024 12:44:02 EDT
SPY 06/06/2024 00:00:00 EDT Put $533.00,SPY240606P00533000,Buy,Filled,1,1,@0.730,0.730,DAY,06/06/2024 12:37:13 EDT,06/06/2024 12:37:13 EDT
SPY 06/06/2024 00:00:00 EDT Put $534.00,SPY240606P00534000,Sell,Filled,1,1,0.790,0.790,DAY,06/06/2024 12:15:28 EDT,06/06/2024 12:15:28 EDT
SPY 06/06/2024 00:00:00 EDT Put $534.00,SPY240606P00534000,Buy,Filled,1,1,@0.770,0.770,DAY,06/06/2024 12:11:21 EDT,06/06/2024 12:11:21 EDT
SPY 06/06/2024 00:00:00 EDT Put $534.00,SPY240606P00534000,Sell,Filled,1,1,@0.730,0.730,DAY,06/06/2024 09:53:09 EDT,06/06/2024 09:53:20 EDT
SPY 06/06/2024 00:00:00 EDT Put $534.00,SPY240606P00534000,Sell,Cancelled,0,1,@0.720,,DAY,06/06/2024 09:50:58 EDT,
SPY 06/06/2024 00:00:00 EDT Put $534.00,SPY240606P00534000,Buy,Cancelled,0,1,@0.600,,DAY,06/06/2024 09:45:41 EDT,
SPY 06/06/2024 00:00:00 EDT Put $534.00,SPY240606P00534000,Buy,Filled,1,1,@0.690,0.690,DAY,06/06/2024 09:30:43 EDT,06/06/2024 09:30:44 EDT
SPXW 06/05/2024 00:00:00 EDT Call $5350.00,SPXW240605C05350000,Buy,Cancelled,0,1,@0.500,,DAY,06/05/2024 15:59:21 EDT,
MU 06/07/2024 00:00:00 EDT Call $131.00,MU240607C00131000,Sell,Filled,1,1,@1.40,1.40,DAY,06/05/2024 10:32:45 EDT,06/05/2024 10:33:02 EDT
MU 06/07/2024 00:00:00 EDT Call $131.00,MU240607C00131000,Sell,Filled,1,1,@1.07,1.07,DAY,06/05/2024 10:25:03 EDT,06/05/2024 10:25:04 EDT
MU 06/07/2024 00:00:00 EDT Call $131.00,MU240607C00131000,Buy,Filled,1,1,@0.900,0.900,DAY,06/05/2024 10:12:36 EDT,06/05/2024 10:12:38 EDT
MU 06/07/2024 00:00:00 EDT Call $131.00,MU240607C00131000,Buy,Filled,1,1,@1.35,1.35,DAY,06/05/2024 09:55:02 EDT,06/05/2024 09:55:03 EDT
SPY 06/05/2024 00:00:00 EDT Put $529.00,SPY240605P00529000,Buy,Cancelled,0,1,@1.05,,DAY,06/05/2024 09:51:05 EDT,
SPY 06/05/2024 00:00:00 EDT Put $530.00,SPY240605P00530000,Sell,Filled,1,1,@1.15,1.15,DAY,06/05/2024 09:33:59 EDT,06/05/2024 09:35:08 EDT
SPY 06/05/2024 00:00:00 EDT Put $530.00,SPY240605P00530000,Buy,Filled,1,1,@1.07,1.07,DAY,06/05/2024 09:31:12 EDT,06/05/2024 09:31:26 EDT
SPY 06/05/2024 00:00:00 EDT Put $530.00,SPY240605P00530000,Buy,Cancelled,0,1,@0.980,,DAY,06/05/2024 09:30:59 EDT,
SPY 06/05/2024 00:00:00 EDT Call $530.00,SPY240605C00530000,Sell,Filled,1,1,0.750,0.750,DAY,06/04/2024 16:12:33 EDT,06/04/2024 16:12:33 EDT
