name,symbol,ticker,expirationDate,strike,entryDateTime,exitDateTime,qty,entry,exit
SPY 06/12/2024 00:00:00 EDT Call $537.00,SPY240612C00537000,SPY,06/12/2024,$537.00C,06/10/2024 10:02:25 ,06/10/2024 10:34:44 ,1,1.55,1.59
SPY 06/10/2024 00:00:00 EDT Put $535.00,SPY240610P00535000,SPY,06/10/2024,$535.00P,06/10/2024 11:59:13 ,06/10/2024 13:13:49 ,1,0.920,0.990
SPY 06/10/2024 00:00:00 EDT Call $535.00,SPY240610C00535000,SPY,06/10/2024,$535.00C,06/10/2024 15:18:40 ,06/10/2024 15:20:39 ,1,0.690,0.760
SPY 06/11/2024 00:00:00 EDT Call $533.00,SPY240611C00533000,SPY,06/11/2024,$533.00C,06/11/2024 09:51:40 ,06/11/2024 09:52:04 ,1,0.860,0.940
SPY 06/11/2024 00:00:00 EDT Call $533.00,SPY240611C00533000,SPY,06/11/2024,$533.00C,06/11/2024 09:51:40 ,06/11/2024 09:59:35 ,1,0.860,0.980
SPY 06/11/2024 00:00:00 EDT Put $535.00,SPY240611P00535000,SPY,06/11/2024,$535.00P,06/11/2024 13:22:31 ,06/11/2024 11:14:05 ,1,1.15,1.32
AAPL 06/14/2024 00:00:00 EDT Call $205.00,AAPL240614C00205000,AAPL,06/14/2024,$205.00C,06/11/2024 12:13:32 ,06/11/2024 12:21:28 ,1,2.15,2.24
SPY 06/11/2024 00:00:00 EDT Put $535.00,SPY240611P00535000,SPY,06/11/2024,$535.00P,06/11/2024 11:05:53 ,06/11/2024 13:24:24 ,1,1.26,1.21
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,SPY,06/12/2024,$540.00P,06/12/2024 12:50:44 ,06/12/2024 13:33:00 ,1,0.700,0.900
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,SPY,06/12/2024,$540.00P,06/12/2024 09:43:07 ,06/12/2024 14:00:02 ,1,0.900,1.10
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,SPY,06/12/2024,$540.00P,06/12/2024 09:30:56 ,06/12/2024 14:00:09 ,1,1.32,0.960
SPXW 06/12/2024 00:00:00 EDT Call $5435.00,SPXW240612C05435000,SPXW,06/12/2024,$5435.00C,06/12/2024 15:30:53 ,06/12/2024 15:37:11 ,1,1.40,2.15
SPY 06/14/2024 00:00:00 EDT Call $545.00,SPY240614C00545000,SPY,06/14/2024,$545.00C,06/12/2024 15:58:55 ,06/12/2024 16:12:38 ,1,0.740,0.600
SPY 06/14/2024 00:00:00 EDT Call $545.00,SPY240614C00545000,SPY,06/14/2024,$545.00C,06/12/2024 15:58:55 ,06/12/2024 16:14:59 ,1,0.740,0.570
TSLA 06/14/2024 00:00:00 EDT Call $192.50,TSLA240614C00192500,TSLA,06/14/2024,$192.50C,06/13/2024 09:31:10 ,06/13/2024 09:35:24 ,1,2.05,2.20
AMZN 06/14/2024 00:00:00 EDT Put $182.50,AMZN240614P00182500,AMZN,06/14/2024,$182.50P,06/13/2024 11:18:05 ,06/13/2024 11:18:48 ,1,0.770,0.800
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,NVDA,06/14/2024,$129.00C,06/13/2024 12:50:48 ,06/13/2024 12:52:48 ,1,0.860,0.940
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,NVDA,06/14/2024,$129.00C,06/13/2024 12:17:56 ,06/13/2024 13:23:46 ,1,1.24,1.00
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,NVDA,06/14/2024,$129.00C,06/13/2024 11:49:45 ,06/13/2024 14:08:53 ,1,1.48,1.40
