Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,Sell,Filled,1,1,@1.40,1.40,DAY,06/13/2024 13:12:22 EDT,06/13/2024 14:08:53 EDT
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,Sell,Filled,1,1,@1.00,1.00,DAY,06/13/2024 13:08:55 EDT,06/13/2024 13:23:46 EDT
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,Sell,Filled,1,1,0.940,0.940,DAY,06/13/2024 12:52:48 EDT,06/13/2024 12:52:48 EDT
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,Buy,Filled,1,1,@0.860,0.860,DAY,06/13/2024 12:50:47 EDT,06/13/2024 12:50:48 EDT
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,Buy,Filled,1,1,@1.24,1.24,DAY,06/13/2024 12:17:54 EDT,06/13/2024 12:17:56 EDT
NVDA 06/14/2024 00:00:00 EDT Call $129.00,NVDA240614C00129000,Buy,Filled,1,1,@1.48,1.48,DAY,06/13/2024 11:49:39 EDT,06/13/2024 11:49:45 EDT
AMZN 06/14/2024 00:00:00 EDT Put $182.50,AMZN240614P00182500,Sell,Filled,1,1,@0.800,0.800,DAY,06/13/2024 11:18:47 EDT,06/13/2024 11:18:48 EDT
AMZN 06/14/2024 00:00:00 EDT Put $182.50,AMZN240614P00182500,Buy,Filled,1,1,@0.770,0.770,DAY,06/13/2024 11:18:05 EDT,06/13/2024 11:18:05 EDT
TSLA 06/14/2024 00:00:00 EDT Call $192.50,TSLA240614C00192500,Sell,Filled,1,1,@2.20,2.20,DAY,06/13/2024 09:33:49 EDT,06/13/2024 09:35:24 EDT
TSLA 06/14/2024 00:00:00 EDT Call $192.50,TSLA240614C00192500,Buy,Filled,1,1,@2.05,2.05,DAY,06/13/2024 09:31:04 EDT,06/13/2024 09:31:10 EDT
SPY 06/14/2024 00:00:00 EDT Call $545.00,SPY240614C00545000,Sell,Filled,1,1,0.570,0.570,DAY,06/12/2024 16:14:58 EDT,06/12/2024 16:14:59 EDT
SPY 06/14/2024 00:00:00 EDT Call $545.00,SPY240614C00545000,Sell,Filled,1,1,@0.600,0.600,DAY,06/12/2024 16:12:38 EDT,06/12/2024 16:12:38 EDT
SPY 06/14/2024 00:00:00 EDT Call $545.00,SPY240614C00545000,Buy,Filled,2,2,@0.740,0.740,DAY,06/12/2024 15:58:44 EDT,06/12/2024 15:58:55 EDT
SPXW 06/12/2024 00:00:00 EDT Call $5435.00,SPXW240612C05435000,Sell,Filled,1,1,@2.15,2.15,DAY,06/12/2024 15:37:11 EDT,06/12/2024 15:37:11 EDT
SPXW 06/12/2024 00:00:00 EDT Call $5435.00,SPXW240612C05435000,Buy,Filled,1,1,@1.40,1.40,DAY,06/12/2024 15:30:53 EDT,06/12/2024 15:30:53 EDT
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,Sell,Filled,1,1,0.960,0.960,DAY,06/12/2024 14:00:09 EDT,06/12/2024 14:00:09 EDT
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,Sell,Filled,1,1,@1.10,1.10,DAY,06/12/2024 13:33:45 EDT,06/12/2024 14:00:02 EDT
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,Sell,Filled,1,1,@0.900,0.900,DAY,06/12/2024 13:31:53 EDT,06/12/2024 13:33:00 EDT
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,Buy,Filled,1,1,@0.700,0.700,DAY,06/12/2024 12:50:43 EDT,06/12/2024 12:50:44 EDT
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,Buy,Filled,1,1,@0.900,0.900,DAY,06/12/2024 09:43:00 EDT,06/12/2024 09:43:07 EDT
